order_id,order_date,customer_id,product_id,store_id,quantity,unit_price
O100142,22-08-2023,C0027,P008,S002,2,60
O100143,13-07-2023,C0005,P004,S001,4,400
O100144,25-02-2023,C0432,P006,S003,3,120
O100145,27-09-2023,C0451,P007,S002,3,30
O100146,18-07-2023,C0334,P003,S004,3,250
O100147,21-06-2023,C0496,P007,S004,1,30
O100148,15-02-2023,C0337,P002,S004,1,800
O100149,13-09-2023,C0498,P003,S004,4,250
O100150,10-06-2023,C0235,P007,S003,5,30
O100151,19-04-2023,C0187,P001,S004,3,1200
O100152,02-07-2023,C0128,P004,S004,1,400
O100153,06-10-2023,C0355,P004,S002,3,400
O100154,16-01-2023,C0075,P001,S005,3,1200
O100155,27-11-2023,C0051,P008,S002,6,60
O100156,19-05-2023,C0400,P006,S003,4,120
O100157,15-07-2023,C0121,P004,S005,2,400
O100158,01-07-2023,C0458,P008,S002,4,60
O100159,27-11-2023,C0270,P004,S002,4,400
O100160,12-02-2023,C0461,P005,S002,2,150
O100161,14-06-2023,C0371,P008,S003,2,60
O100162,15-07-2023,C0475,P008,S002,1,60
O100163,13-10-2023,C0050,P004,S005,1,400
O100164,07-07-2023,C0454,P003,S002,1,250
O100165,17-03-2023,C0416,P005,S005,2,150
O100166,09-11-2023,C0376,P002,S004,3,800
O100167,14-12-2023,C0247,P004,S001,6,400
O100168,02-04-2023,C0151,P008,S002,5,60
O100169,17-05-2023,C0419,P006,S001,3,120
O100170,16-07-2023,C0405,P007,S002,2,30
O100171,13-04-2023,C0056,P008,S005,5,60
O100172,21-12-2023,C0417,P008,S004,5,60
O100173,01-01-2023,C0173,P007,S005,5,30
O100174,18-09-2023,C0379,P002,S005,1,800
O100175,19-05-2023,C0486,P006,S005,4,120
O100176,10-06-2023,C0445,P002,S002,5,800
O100177,08-05-2023,C0128,P005,S004,5,150
O100178,12-06-2023,C0443,P002,S003,3,800
O100179,03-12-2023,C0348,P003,S004,2,250
O100180,09-05-2023,C0347,P006,S005,2,120
O100181,08-04-2023,C0113,P006,S005,4,120
O100182,20-03-2023,C0087,P004,S005,1,400
O100183,09-03-2023,C0048,P004,S005,4,400
O100184,17-11-2023,C0154,P002,S004,7,800
O100185,25-02-2023,C0469,P002,S003,1,800
O100186,25-05-2023,C0393,P005,S003,3,150
O100187,04-12-2023,C0126,P002,S003,4,800
O100188,28-10-2023,C0382,P007,S004,4,30
O100189,15-06-2023,C0052,P004,S001,2,400
O100190,02-10-2023,C0447,P005,S001,3,150
O100191,18-06-2023,C0364,P001,S003,4,1200
O100192,22-03-2023,C0034,P008,S005,2,60
O100193,17-07-2023,C0389,P004,S001,1,400
O100194,02-02-2023,C0125,P007,S005,2,30
O100195,17-06-2023,C0022,P008,S005,3,60
O100196,22-10-2023,C0067,P005,S003,3,150
O100197,18-04-2023,C0227,P006,S001,4,120
O100198,08-06-2023,C0117,P002,S004,2,800
O100199,28-11-2023,C0240,P005,S005,7,150
O100200,06-02-2023,C0403,P002,S003,3,800
O100201,07-07-2023,C0253,P001,S002,1,1200
O100202,23-05-2023,C0081,P004,S002,1,400
O100203,25-08-2023,C0186,P004,S003,1,400
O100204,27-03-2023,C0480,P004,S005,4,400
O100205,21-05-2023,C0478,P004,S002,1,400
O100206,17-07-2023,C0233,P006,S005,1,120
O100207,20-12-2023,C0237,P001,S004,8,1200
O100208,18-08-2023,C0450,P008,S003,2,60
O100209,16-04-2023,C0492,P005,S001,2,150
O100210,04-09-2023,C0091,P007,S002,4,30
O100211,18-02-2023,C0284,P007,S004,4,30
O100212,10-03-2023,C0180,P004,S004,1,400
O100213,02-08-2023,C0103,P001,S004,5,1200
O100214,14-11-2023,C0003,P004,S003,5,400
O100215,04-12-2023,C0241,P003,S001,6,250
O100216,04-08-2023,C0461,P005,S003,4,150
O100217,15-11-2023,C0115,P006,S004,6,120
O100218,09-02-2023,C0307,P008,S005,3,60
O100219,16-06-2023,C0020,P008,S002,1,60
O100220,19-03-2023,C0448,P001,S001,4,1200
O100221,15-12-2023,C0460,P002,S004,5,800
O100222,16-06-2023,C0017,P008,S005,5,60
O100223,03-12-2023,C0237,P001,S003,2,1200
O100224,21-09-2023,C0117,P007,S001,4,30
O100225,12-07-2023,C0357,P004,S002,4,400
O100226,04-12-2023,C0478,P006,S003,4,120
O100227,28-05-2023,C0096,P002,S004,2,800
O100228,05-10-2023,C0193,P004,S002,4,400
O100229,08-03-2023,C0433,P005,S001,3,150
O100230,06-01-2023,C0022,P008,S004,3,60
O100231,22-02-2023,C0391,P007,S003,4,30
O100232,16-11-2023,C0010,P005,S001,6,150
O100233,21-01-2023,C0207,P002,S002,2,800
O100234,18-07-2023,C0092,P004,S005,3,400
O100235,03-05-2023,C0180,P005,S004,2,150
O100236,20-12-2023,C0040,P007,S004,6,30
O100237,13-08-2023,C0137,P004,S002,3,400
O100238,20-01-2023,C0438,P002,S004,2,800
O100239,22-08-2023,C0256,P001,S001,1,1200
O100240,06-05-2023,C0403,P007,S002,4,30
O100241,30-09-2023,C0065,P001,S002,5,1200
O100242,23-01-2023,C0494,P002,S005,1,800
O100243,03-02-2023,C0194,P006,S001,3,120
O100244,19-12-2023,C0060,P006,S004,7,120
O100245,08-02-2023,C0102,P006,S004,1,120
O100246,26-12-2023,C0489,P004,S003,6,400
O100247,20-01-2023,C0395,P006,S001,3,120
O100248,17-02-2023,C0038,P003,S005,3,250
O100249,29-12-2023,C0038,P006,S005,2,120
O100250,27-04-2023,C0424,P004,S005,1,400
O100251,19-04-2023,C0289,P004,S005,1,400
O100252,29-12-2023,C0151,P006,S003,7,120
O100253,03-06-2023,C0199,P005,S005,2,150
O100254,24-01-2023,C0482,P003,S004,1,250
O100255,31-08-2023,C0308,P002,S004,3,800
O100256,23-04-2023,C0009,P001,S004,1,1200
O100257,28-03-2023,C0025,P004,S001,1,400
O100258,05-06-2023,C0003,P007,S005,2,30
O100259,21-07-2023,C0232,P002,S001,1,800
O100260,07-12-2023,C0230,P002,S001,2,800
O100261,14-05-2023,C0407,P003,S002,2,250
O100262,13-12-2023,C0273,P005,S002,4,150
O100263,01-01-2023,C0076,P007,S002,4,30
O100264,23-11-2023,C0283,P004,S005,4,400
O100265,09-08-2023,C0027,P006,S002,4,120
O100266,21-06-2023,C0476,P002,S002,2,800
O100267,17-07-2023,C0031,P001,S002,5,1200
O100268,25-06-2023,C0178,P001,S002,5,1200
O100269,20-07-2023,C0261,P006,S004,3,120
O100270,06-09-2023,C0081,P003,S003,1,250
O100271,02-06-2023,C0259,P007,S004,1,30
O100272,07-01-2023,C0148,P005,S005,3,150
O100273,03-04-2023,C0076,P001,S001,3,1200
O100274,19-04-2023,C0346,P007,S004,1,30
O100275,19-09-2023,C0183,P002,S002,3,800
O100276,08-09-2023,C0362,P005,S005,2,150
O100277,21-11-2023,C0401,P008,S001,6,60
O100278,15-04-2023,C0104,P005,S005,4,150
O100279,16-08-2023,C0156,P005,S004,4,150
O100280,07-04-2023,C0098,P005,S004,5,150
O100281,25-08-2023,C0480,P008,S004,2,60
O100282,28-05-2023,C0060,P007,S005,4,30
O100283,22-04-2023,C0132,P007,S003,4,30
O100284,25-04-2023,C0456,P007,S005,5,30
O100285,27-07-2023,C0126,P004,S002,1,400
O100286,06-01-2023,C0378,P005,S001,1,150
O100287,20-03-2023,C0028,P001,S002,3,1200
O100288,28-09-2023,C0477,P003,S004,4,250
O100289,19-02-2023,C0180,P004,S003,1,400
O100290,10-09-2023,C0332,P005,S002,1,150
O100291,25-09-2023,C0253,P001,S002,5,1200
O100292,22-10-2023,C0299,P008,S002,3,60
O100293,23-06-2023,C0369,P001,S001,1,1200
O100294,20-01-2023,C0032,P008,S005,1,60
O100295,20-06-2023,C0398,P001,S002,1,1200
O100296,27-02-2023,C0420,P002,S005,1,800
O100297,10-01-2023,C0227,P003,S003,2,250
O100298,23-11-2023,C0269,P005,S003,8,150
O100299,13-08-2023,C0129,P007,S004,5,30
O100300,14-04-2023,C0463,P001,S003,3,1200
O100301,18-10-2023,C0270,P003,S002,3,250
O100302,19-04-2023,C0174,P004,S005,2,400
O100303,08-10-2023,C0257,P006,S004,2,120
O100304,20-09-2023,C0449,P006,S002,4,120
O100305,30-03-2023,C0170,P005,S002,5,150
O100306,20-06-2023,C0289,P005,S004,3,150
O100307,19-09-2023,C0320,P006,S005,2,120
O100308,17-01-2023,C0375,P004,S002,4,400
O100309,08-07-2023,C0278,P006,S001,2,120
O100310,16-02-2023,C0146,P003,S002,2,250
O100311,26-08-2023,C0104,P003,S005,4,250
O100312,20-08-2023,C0016,P005,S003,4,150
O100313,30-07-2023,C0209,P001,S003,3,1200
O100314,18-05-2023,C0486,P007,S001,3,30
O100315,25-07-2023,C0325,P001,S004,2,1200
O100316,20-12-2023,C0040,P005,S001,6,150
O100317,25-11-2023,C0494,P001,S002,6,1200
O100318,04-08-2023,C0217,P001,S005,5,1200
O100319,18-04-2023,C0355,P003,S002,2,250
O100320,18-03-2023,C0380,P006,S003,2,120
O100321,10-02-2023,C0486,P004,S004,1,400
O100322,22-02-2023,C0221,P007,S002,4,30
O100323,21-05-2023,C0493,P007,S005,1,30
O100324,20-04-2023,C0087,P003,S005,1,250
O100325,24-08-2023,C0458,P003,S005,4,250
O100326,08-10-2023,C0422,P007,S003,5,30
O100327,22-09-2023,C0313,P007,S003,4,30
O100328,23-09-2023,C0157,P002,S002,4,800
O100329,29-06-2023,C0325,P005,S002,3,150
O100330,05-02-2023,C0403,P006,S005,4,120
O100331,27-03-2023,C0269,P002,S001,3,800
O100332,16-07-2023,C0402,P005,S002,4,150
O100333,12-06-2023,C0109,P002,S004,1,800
O100334,18-01-2023,C0158,P006,S004,4,120
O100335,05-02-2023,C0331,P006,S001,1,120
O100336,06-03-2023,C0079,P003,S003,1,250
O100337,12-05-2023,C0486,P002,S005,1,800
O100338,28-01-2023,C0147,P003,S004,4,250
O100339,27-02-2023,C0037,P007,S003,2,30
O100340,10-03-2023,C0284,P002,S001,4,800
O100341,26-03-2023,C0365,P003,S004,2,250
O100342,09-08-2023,C0341,P006,S001,4,120
O100343,18-02-2023,C0190,P002,S002,1,800
O100344,13-06-2023,C0123,P008,S003,2,60
O100345,02-06-2023,C0401,P003,S002,1,250
O100346,15-09-2023,C0496,P003,S002,3,250
O100347,04-05-2023,C0012,P004,S003,1,400
O100348,15-02-2023,C0187,P004,S001,2,400
O100349,14-03-2023,C0182,P003,S004,4,250
O100350,20-11-2023,C0238,P007,S003,4,30
O100351,10-08-2023,C0268,P008,S001,1,60
O100352,07-03-2023,C0046,P005,S005,3,150
O100353,20-05-2023,C0233,P001,S005,2,1200
O100354,29-08-2023,C0315,P002,S005,3,800
O100355,11-03-2023,C0442,P007,S002,3,30
O100356,30-06-2023,C0454,P005,S002,5,150
O100357,27-06-2023,C0135,P002,S005,4,800
O100358,12-04-2023,C0279,P001,S003,1,1200
O100359,11-09-2023,C0434,P007,S004,1,30
O100360,30-11-2023,C0153,P004,S003,2,400
O100361,05-05-2023,C0210,P008,S004,5,60
O100362,31-05-2023,C0315,P002,S002,2,800
O100363,28-05-2023,C0074,P007,S002,1,30
O100364,03-12-2023,C0294,P003,S002,3,250
O100365,20-10-2023,C0032,P001,S002,1,1200
O100366,11-10-2023,C0303,P004,S004,2,400
O100367,22-01-2023,C0326,P003,S005,2,250
O100368,08-08-2023,C0364,P005,S001,2,150
O100369,17-06-2023,C0466,P003,S002,4,250
O100370,07-07-2023,C0264,P006,S003,3,120
O100371,12-06-2023,C0261,P008,S002,1,60
O100372,26-08-2023,C0429,P006,S001,1,120
O100373,21-02-2023,C0203,P005,S003,1,150
O100374,06-05-2023,C0360,P004,S001,3,400
O100375,30-09-2023,C0152,P007,S002,2,30
O100376,10-05-2023,C0474,P002,S004,2,800
O100377,02-07-2023,C0436,P004,S004,2,400
O100378,09-03-2023,C0342,P001,S003,1,1200
O100379,02-04-2023,C0050,P003,S004,1,250
O100380,20-09-2023,C0086,P002,S004,4,800
O100381,04-07-2023,C0133,P008,S002,4,60
O100382,22-07-2023,C0032,P004,S004,1,400
O100383,16-06-2023,C0276,P002,S004,3,800
O100384,23-10-2023,C0346,P007,S001,5,30
O100385,01-12-2023,C0184,P007,S003,3,30
O100386,10-04-2023,C0259,P005,S001,3,150
O100387,10-10-2023,C0037,P002,S005,5,800
O100388,10-03-2023,C0095,P004,S004,4,400
O100389,01-04-2023,C0211,P004,S003,3,400
O100390,21-01-2023,C0494,P002,S004,1,800
O100391,21-02-2023,C0037,P005,S005,4,150
O100392,04-04-2023,C0470,P008,S003,5,60
O100393,29-11-2023,C0451,P004,S005,3,400
O100394,04-12-2023,C0281,P007,S003,8,30
O100395,05-09-2023,C0302,P001,S004,4,1200
O100396,26-07-2023,C0373,P003,S002,1,250
O100397,23-02-2023,C0254,P007,S002,1,30
O100398,20-06-2023,C0487,P002,S003,5,800
O100399,04-08-2023,C0418,P008,S003,2,60
O100400,24-10-2023,C0127,P006,S002,5,120
O100401,06-06-2023,C0015,P001,S004,4,1200
O100402,21-10-2023,C0088,P002,S001,2,800
O100403,15-08-2023,C0066,P008,S002,5,60
O100404,22-10-2023,C0019,P007,S004,1,30
O100405,07-08-2023,C0004,P008,S001,4,60
O100406,24-04-2023,C0326,P003,S004,2,250
O100407,13-03-2023,C0385,P008,S003,5,60
O100408,05-04-2023,C0280,P002,S001,4,800
O100409,05-03-2023,C0077,P008,S005,5,60
O100410,25-12-2023,C0101,P003,S002,7,250
O100411,05-09-2023,C0388,P008,S002,1,60
O100412,26-04-2023,C0021,P005,S005,3,150
O100413,24-12-2023,C0240,P008,S004,7,60
O100414,09-09-2023,C0049,P002,S001,3,800
O100415,15-04-2023,C0456,P001,S004,1,1200
O100416,08-07-2023,C0183,P003,S002,3,250
O100417,22-09-2023,C0106,P001,S001,2,1200
O100418,17-10-2023,C0201,P001,S002,4,1200
O100419,10-12-2023,C0245,P007,S003,7,30
O100420,12-08-2023,C0242,P005,S001,3,150
O100421,25-04-2023,C0388,P006,S002,3,120
O100422,04-08-2023,C0048,P001,S003,5,1200
O100423,08-08-2023,C0277,P007,S002,2,30
O100424,16-07-2023,C0067,P007,S004,5,30
O100425,25-05-2023,C0149,P005,S005,4,150
O100426,06-11-2023,C0007,P001,S003,6,1200
O100427,30-04-2023,C0448,P003,S005,1,250
O100428,23-04-2023,C0029,P002,S005,2,800
O100429,07-10-2023,C0092,P007,S004,4,30
O100430,22-04-2023,C0095,P003,S005,2,250
O100431,28-07-2023,C0243,P004,S002,2,400
O100432,19-08-2023,C0143,P003,S001,4,250
O100433,31-01-2023,C0440,P002,S001,3,800
O100434,05-06-2023,C0358,P001,S005,1,1200
O100435,18-01-2023,C0239,P008,S005,2,60
O100436,16-08-2023,C0332,P002,S004,4,800
O100437,15-08-2023,C0363,P007,S004,4,30
O100438,13-04-2023,C0100,P002,S002,4,800
O100439,22-10-2023,C0109,P006,S005,5,120
O100440,20-08-2023,C0090,P003,S005,1,250
O100441,16-01-2023,C0316,P002,S005,1,800
O100442,09-04-2023,C0371,P006,S001,5,120
O100443,01-02-2023,C0182,P007,S004,3,30
O100444,05-12-2023,C0176,P007,S004,3,30
O100445,22-07-2023,C0268,P006,S005,1,120
O100446,18-02-2023,C0372,P004,S005,3,400
O100447,06-11-2023,C0409,P001,S005,4,1200
O100448,03-10-2023,C0457,P005,S004,3,150
O100449,01-04-2023,C0460,P007,S001,2,30
O100450,15-06-2023,C0042,P005,S001,5,150
O100451,13-08-2023,C0489,P003,S005,2,250
O100452,27-03-2023,C0227,P003,S003,1,250
O100453,21-06-2023,C0259,P003,S003,2,250
O100454,07-06-2023,C0248,P008,S004,4,60
O100455,29-11-2023,C0088,P005,S004,5,150
O100456,29-07-2023,C0290,P003,S003,1,250
O100457,10-09-2023,C0388,P005,S001,3,150
O100458,11-06-2023,C0221,P005,S001,4,150
O100459,19-07-2023,C0025,P006,S005,4,120
O100460,17-03-2023,C0458,P004,S005,1,400
O100461,01-10-2023,C0356,P007,S003,1,30
O100462,26-05-2023,C0409,P004,S002,2,400
O100463,25-05-2023,C0034,P005,S005,3,150
O100464,09-03-2023,C0369,P005,S002,1,150
O100465,09-11-2023,C0394,P003,S004,4,250
O100466,18-07-2023,C0140,P004,S001,3,400
O100467,29-08-2023,C0468,P006,S001,4,120
O100468,04-09-2023,C0387,P001,S002,5,1200
O100469,22-02-2023,C0373,P005,S005,4,150
O100470,05-01-2023,C0180,P003,S005,4,250
O100471,12-07-2023,C0079,P003,S003,1,250
O100472,11-09-2023,C0499,P006,S003,4,120
O100473,22-06-2023,C0332,P006,S004,5,120
O100474,27-11-2023,C0327,P005,S004,6,150
O100475,02-02-2023,C0141,P006,S004,1,120
O100476,23-06-2023,C0117,P005,S005,3,150
O100477,12-06-2023,C0425,P007,S004,3,30
O100478,20-01-2023,C0396,P006,S002,2,120
O100479,12-11-2023,C0381,P004,S004,4,400
O100480,04-04-2023,C0141,P004,S003,2,400
O100481,02-07-2023,C0038,P005,S004,3,150
O100482,06-09-2023,C0073,P003,S004,1,250
O100483,18-01-2023,C0220,P007,S001,1,30
O100484,01-08-2023,C0469,P008,S001,3,60
O100485,14-06-2023,C0268,P002,S004,2,800
O100486,16-08-2023,C0467,P007,S001,5,30
O100487,09-12-2023,C0055,P002,S002,6,800
O100488,04-03-2023,C0279,P005,S005,5,150
O100489,20-04-2023,C0294,P005,S004,3,150
O100490,11-04-2023,C0096,P004,S004,1,400
O100491,31-05-2023,C0051,P003,S004,2,250
O100492,08-04-2023,C0139,P004,S004,1,400
O100493,17-02-2023,C0020,P008,S005,2,60
O100494,27-09-2023,C0012,P007,S004,3,30
O100495,30-03-2023,C0053,P001,S002,1,1200
O100496,02-12-2023,C0240,P008,S001,2,60
O100497,15-12-2023,C0314,P002,S004,6,800
O100498,26-06-2023,C0033,P006,S001,3,120
O100499,15-12-2023,C0108,P005,S005,7,150
O100500,05-12-2023,C0360,P002,S004,3,800
O100501,10-09-2023,C0242,P003,S003,2,250
O100502,03-09-2023,C0158,P006,S004,4,120
O100503,21-12-2023,C0406,P005,S001,6,150
O100504,05-11-2023,C0138,P006,S003,8,120
O100505,16-05-2023,C0032,P008,S001,5,60
O100506,20-07-2023,C0398,P004,S003,1,400
O100507,18-08-2023,C0200,P003,S001,1,250
O100508,22-12-2023,C0480,P008,S004,5,60
O100509,21-01-2023,C0246,P004,S003,4,400
O100510,03-01-2023,C0040,P004,S003,4,400
O100511,20-03-2023,C0003,P007,S002,2,30
O100512,24-12-2023,C0428,P007,S002,4,30
O100513,31-05-2023,C0234,P007,S003,3,30
O100514,15-10-2023,C0410,P005,S002,1,150
O100515,12-11-2023,C0190,P003,S004,3,250
O100516,17-04-2023,C0345,P002,S003,2,800
O100517,19-10-2023,C0360,P008,S002,5,60
O100518,11-04-2023,C0165,P007,S004,1,30
O100519,25-01-2023,C0083,P004,S003,1,400
O100520,22-07-2023,C0171,P001,S004,3,1200
O100521,12-02-2023,C0351,P001,S001,4,1200
O100522,05-10-2023,C0005,P001,S001,2,1200
O100523,12-12-2023,C0178,P004,S004,4,400
O100524,21-07-2023,C0472,P006,S001,4,120
O100525,16-02-2023,C0438,P004,S004,2,400
O100526,23-01-2023,C0402,P005,S003,4,150
O100527,10-09-2023,C0395,P003,S003,4,250
O100528,21-02-2023,C0184,P002,S004,1,800
O100529,30-04-2023,C0472,P004,S005,2,400
O100530,24-08-2023,C0358,P003,S002,1,250
O100531,01-08-2023,C0322,P004,S003,3,400
O100532,15-06-2023,C0343,P003,S002,1,250
O100533,04-10-2023,C0316,P006,S003,5,120
O100534,27-08-2023,C0427,P003,S001,1,250
O100535,18-07-2023,C0330,P004,S003,1,400
O100536,23-08-2023,C0470,P007,S005,2,30
O100537,15-08-2023,C0246,P003,S001,1,250
O100538,03-03-2023,C0196,P007,S005,1,30
O100539,28-10-2023,C0083,P001,S004,1,1200
O100540,03-11-2023,C0155,P008,S002,4,60
O100541,07-11-2023,C0125,P001,S003,6,1200
O100542,09-04-2023,C0121,P003,S005,2,250
O100543,07-10-2023,C0309,P007,S003,5,30
O100544,02-06-2023,C0282,P001,S001,2,1200
O100545,02-09-2023,C0384,P008,S003,5,60
O100546,31-08-2023,C0026,P001,S003,2,1200
O100547,15-06-2023,C0073,P003,S005,4,250
O100548,13-03-2023,C0490,P001,S001,1,1200
O100549,15-11-2023,C0271,P004,S002,6,400
O100550,06-07-2023,C0217,P004,S005,1,400
O100551,27-04-2023,C0094,P007,S003,2,30
O100552,21-03-2023,C0421,P005,S002,3,150
O100553,17-12-2023,C0125,P002,S003,2,800
O100554,14-09-2023,C0121,P005,S004,4,150
